Complexity,Perturbation,Accuracy,Avg TED,Count,Experiment,Model
advanced,relative_temporal,0.0,0.436245301065372,56,deepseek_llm,deepseek
advanced,synonym_substitution,0.33333333333333337,0.1923905373033087,300,deepseek_llm,deepseek
advanced,typos,1.6666666666666667,0.2470241811992196,300,deepseek_llm,deepseek
advanced,under_specification,0.6666666666666667,0.4729955124965371,300,deepseek_llm,deepseek
aggregate,ambiguous_pronouns,1.6666666666666667,0.5860062859162741,300,deepseek_llm,deepseek
aggregate,column_variations,19.0,0.38863156120674913,300,deepseek_llm,deepseek
aggregate,implicit_business_logic,0.0,0.5880874403368774,161,deepseek_llm,deepseek
aggregate,missing_where_details,14.285714285714285,0.16086151397368909,119,deepseek_llm,deepseek
aggregate,original,27.666666666666668,0.2708719715956558,300,deepseek_llm,deepseek
aggregate,relative_temporal,0.0,0.0,6,deepseek_llm,deepseek
aggregate,synonym_substitution,9.0,0.3965366561396167,300,deepseek_llm,deepseek
aggregate,typos,25.0,0.24718948271579852,300,deepseek_llm,deepseek
aggregate,under_specification,1.6666666666666667,0.5535703937227425,300,deepseek_llm,deepseek
aggregate,vague_aggregation,2.3333333333333335,0.6952321837507,300,deepseek_llm,deepseek
delete,ambiguous_pronouns,31.800766283524908,0.7882028015990116,261,deepseek_llm,deepseek
delete,column_variations,56.00000000000001,0.6209991673502508,300,deepseek_llm,deepseek
delete,implicit_business_logic,14.333333333333334,0.7146824991180369,300,deepseek_llm,deepseek
delete,incomplete_joins,0.0,0.5662431941923776,2,deepseek_llm,deepseek
delete,missing_where_details,6.0,0.6320033182404912,300,deepseek_llm,deepseek
delete,original,16.0,0.16519149180139892,300,deepseek_llm,deepseek
delete,relative_temporal,0.0,0.35003247435116386,79,deepseek_llm,deepseek
delete,synonym_substitution,1.0033444816053512,0.6278038864975714,299,deepseek_llm,deepseek
delete,typos,36.333333333333336,0.36971682067463,300,deepseek_llm,deepseek
delete,under_specification,47.66666666666667,0.6064366013071896,300,deepseek_llm,deepseek
insert,ambiguous_pronouns,42.10526315789473,0.8333140543666859,76,deepseek_llm,deepseek
insert,column_variations,88.23529411764706,0.8764761645803586,289,deepseek_llm,deepseek
insert,implicit_business_logic,0.0,0.8685897435897436,7,deepseek_llm,deepseek
insert,original,91.66666666666666,0.91,300,deepseek_llm,deepseek
insert,relative_temporal,97.97979797979798,0.976770683020683,198,deepseek_llm,deepseek
insert,synonym_substitution,58.27586206896552,0.9183812962261239,290,deepseek_llm,deepseek
insert,typos,91.33333333333333,0.8959267241379311,300,deepseek_llm,deepseek
insert,under_specification,60.57692307692307,0.9089183093725656,208,deepseek_llm,deepseek
join,ambiguous_pronouns,10.666666666666668,0.5516619915479192,300,deepseek_llm,deepseek
join,column_variations,5.666666666666666,0.27439267890274777,300,deepseek_llm,deepseek
join,implicit_business_logic,0.0,0.5867032366866033,210,deepseek_llm,deepseek
join,incomplete_joins,10.333333333333334,0.5742860885464585,300,deepseek_llm,deepseek
join,missing_where_details,1.3071895424836601,0.2961716144535649,153,deepseek_llm,deepseek
join,original,8.333333333333332,0.34938057715074394,300,deepseek_llm,deepseek
join,relative_temporal,0.0,0.20228607316569416,26,deepseek_llm,deepseek
join,synonym_substitution,1.3333333333333335,0.31791513161637575,300,deepseek_llm,deepseek
join,typos,6.333333333333334,0.35161582471138536,300,deepseek_llm,deepseek
join,under_specification,0.0,0.560530273696027,300,deepseek_llm,deepseek
simple,ambiguous_pronouns,7.744107744107744,0.7176390564540585,297,deepseek_llm,deepseek
simple,column_variations,34.94809688581315,0.4937486489472438,289,deepseek_llm,deepseek
simple,implicit_business_logic,3.3333333333333335,0.5985401454930054,150,deepseek_llm,deepseek
simple,missing_where_details,15.172413793103448,0.40114750889039724,145,deepseek_llm,deepseek
simple,original,46.666666666666664,0.4781827440817211,300,deepseek_llm,deepseek
simple,relative_temporal,12.5,0.24236775759707943,32,deepseek_llm,deepseek
simple,synonym_substitution,9.666666666666666,0.5517434162761335,300,deepseek_llm,deepseek
simple,typos,45.33333333333333,0.4651939116954597,300,deepseek_llm,deepseek
simple,under_specification,16.333333333333332,0.7122588124051611,300,deepseek_llm,deepseek
update,ambiguous_pronouns,14.801444043321299,0.21837437805689844,277,deepseek_llm,deepseek
update,column_variations,15.666666666666668,0.15916363636363637,300,deepseek_llm,deepseek
update,implicit_business_logic,4.333333333333334,0.5506677066653745,300,deepseek_llm,deepseek
update,incomplete_joins,0.0,0.0,3,deepseek_llm,deepseek
update,missing_where_details,8.333333333333332,0.3505819126890618,300,deepseek_llm,deepseek
update,original,9.666666666666666,0.0988,300,deepseek_llm,deepseek
update,relative_temporal,4.854368932038835,0.09877074388726508,103,deepseek_llm,deepseek
update,synonym_substitution,10.333333333333334,0.3337788166050741,300,deepseek_llm,deepseek
update,typos,13.666666666666666,0.13535384615384616,300,deepseek_llm,deepseek
update,under_specification,14.666666666666666,0.1573772507685551,300,deepseek_llm,deepseek
